state,time,candidate,votes,share,text
GA,2020-11-07T23:57:56Z,Trump,2454729,0.4929,"GA Presidential Election Results

Biden (D): 49.47% (2,463,889 votes)
Trump (R): 49.29% (2,454,729 votes)

Biden Margin: +9,160 (+1,613)
Estimated: &gt; 99% votes in

More results here: https://t.co/xlHf7GZUxJ"
NC,2020-11-07T19:39:06Z,Trump,2733564,0.5008,"NC Presidential Election Results

Trump (R): 50.08% (2,733,564 votes)
Biden (D): 48.7% (2,658,167 votes)

Trump Margin: +75,397 (-1,304)
Estimated: &gt; 95% votes in

More results here: https://t.co/mMSMwaoZxw"
NC,2020-11-07T19:39:06Z,Biden,2658167,0.48700000000000004,"NC Presidential Election Results

Trump (R): 50.08% (2,733,564 votes)
Biden (D): 48.7% (2,658,167 votes)

Trump Margin: +75,397 (-1,304)
Estimated: &gt; 95% votes in

More results here: https://t.co/mMSMwaoZxw"
GA,2020-11-07T19:26:55Z,Biden,2462038,0.49450000000000005,"GA Presidential Election Results

Biden (D): 49.45% (2,462,038 votes)
Trump (R): 49.3% (2,454,491 votes)

Biden Margin: +7,547 (+299)
Estimated: &gt; 99% votes in

More results here: https://t.co/xlHf7Hhvph"
GA,2020-11-07T19:26:55Z,Trump,2454491,0.493,"GA Presidential Election Results

Biden (D): 49.45% (2,462,038 votes)
Trump (R): 49.3% (2,454,491 votes)

Biden Margin: +7,547 (+299)
Estimated: &gt; 99% votes in

More results here: https://t.co/xlHf7Hhvph"
NV,2020-11-07T17:13:16Z,Biden,641210,0.4991,"NV Presidential Election Results

Biden (D): 49.91% (641,210 votes)
Trump (R): 47.92% (615,690 votes)

Biden Margin: +25,520 (+2,863)
Estimated: &gt; 95% votes in

More results here: https://t.co/Skqy3QUPov"
NV,2020-11-07T17:13:16Z,Trump,615690,0.4792,"NV Presidential Election Results

Biden (D): 49.91% (641,210 votes)
Trump (R): 47.92% (615,690 votes)

Biden Margin: +25,520 (+2,863)
Estimated: &gt; 95% votes in

More results here: https://t.co/Skqy3QUPov"
PA,2020-11-07T16:30:08Z,Biden,3344528,0.4968,"PA Presidential Election Results - Called for Biden (D)
 
Biden (D): 49.68% (3,344,528 votes)
Trump (R): 49.17% (3,310,326 votes)
 
Biden Margin: 34,202 (+3,291)
% Difference: 0.51%
 
Estimated: &gt; 95% votes in
 
More results here: https://t.co/BgcQsEyt3j"
PA,2020-11-07T16:30:08Z,Trump,3310326,0.4917,"PA Presidential Election Results - Called for Biden (D)
 
Biden (D): 49.68% (3,344,528 votes)
Trump (R): 49.17% (3,310,326 votes)
 
Biden Margin: 34,202 (+3,291)
% Difference: 0.51%
 
Estimated: &gt; 95% votes in
 
More results here: https://t.co/BgcQsEyt3j"
PA,2020-11-07T16:24:52Z,Biden,3339344,0.4966,"PA Presidential Election Results - Called for Biden (D)
 
Biden (D): 49.66% (3,339,344 votes)
Trump (R): 49.20% (3,308,433 votes)
 
Biden Margin: 30,911 (+2,075)
% Difference: 0.46%
 
Estimated: &gt; 95% votes in
 
More results here: https://t.co/BgcQsEyt3j"
PA,2020-11-07T16:24:52Z,Trump,3308433,0.49200000000000005,"PA Presidential Election Results - Called for Biden (D)
 
Biden (D): 49.66% (3,339,344 votes)
Trump (R): 49.20% (3,308,433 votes)
 
Biden Margin: 30,911 (+2,075)
% Difference: 0.46%
 
Estimated: &gt; 95% votes in
 
More results here: https://t.co/BgcQsEyt3j"
AZ,2020-11-07T16:05:32Z,Biden,1626943,0.49560000000000004,"AZ Presidential Election Results

Biden (D): 49.56% (1,626,943 votes)
Trump (R): 48.94% (1,606,370 votes)

Biden Margin: +20,573 (-7,479)
Estimated: &gt; 95% votes in

More results here: https://t.co/7CxbLsQ3gY"
AZ,2020-11-07T16:05:32Z,Trump,1606370,0.4894,"AZ Presidential Election Results

Biden (D): 49.56% (1,626,943 votes)
Trump (R): 48.94% (1,606,370 votes)

Biden Margin: +20,573 (-7,479)
Estimated: &gt; 95% votes in

More results here: https://t.co/7CxbLsQ3gY"
AZ,2020-11-07T15:59:01Z,Biden,1607430,0.49689999999999995,"AZ Presidential Election Results

Biden (D): 49.69% (1,607,430 votes)
Trump (R): 48.83% (1,579,378 votes)

Biden Margin: +28,052 (-1,809)
Estimated: &gt; 95% votes in

More results here: https://t.co/7CxbLsQ3gY"
AZ,2020-11-07T15:59:01Z,Trump,1579378,0.48829999999999996,"AZ Presidential Election Results

Biden (D): 49.69% (1,607,430 votes)
Trump (R): 48.83% (1,579,378 votes)

Biden Margin: +28,052 (-1,809)
Estimated: &gt; 95% votes in

More results here: https://t.co/7CxbLsQ3gY"
GA,2020-11-07T15:57:54Z,Biden,2461455,0.49450000000000005,"GA Presidential Election Results

Biden (D): 49.45% (2,461,455 votes)
Trump (R): 49.31% (2,454,207 votes)

Biden Margin: +7,248 (+3,325)
Estimated: &gt; 99% votes in

More results here: https://t.co/xlHf7GZUxJ"
GA,2020-11-07T15:57:54Z,Trump,2454207,0.49310000000000004,"GA Presidential Election Results

Biden (D): 49.45% (2,461,455 votes)
Trump (R): 49.31% (2,454,207 votes)

Biden Margin: +7,248 (+3,325)
Estimated: &gt; 99% votes in

More results here: https://t.co/xlHf7GZUxJ"
PA,2020-11-07T03:45:40Z,Biden,3336913,0.4964,"PA Presidential Election Results - Called for Biden (D)
 
Biden (D): 49.64% (3,336,913 votes)
Trump (R): 49.21% (3,308,077 votes)
 
Biden Margin: 28,836 (+1,703)
% Difference: 0.43%
 
Estimated: &gt; 95% votes in
 
More results here: https://t.co/BgcQsEyt3j"
PA,2020-11-07T03:45:40Z,Trump,3308077,0.4921,"PA Presidential Election Results - Called for Biden (D)
 
Biden (D): 49.64% (3,336,913 votes)
Trump (R): 49.21% (3,308,077 votes)
 
Biden Margin: 28,836 (+1,703)
% Difference: 0.43%
 
Estimated: &gt; 95% votes in
 
More results here: https://t.co/BgcQsEyt3j"
PA,2020-11-07T02:38:14Z,Biden,3334477,0.4963,"PA Presidential Election Results - Called for Biden (D)
 
Biden (D): 49.63% (3,334,477 votes)
Trump (R): 49.22% (3,307,344 votes)
 
Biden Margin: 27,133 (+5,605)
% Difference: 0.41%
 
Estimated: &gt; 95% votes in
 
More results here:
https://t.co/BgcQsEyt3j"
PA,2020-11-07T02:38:14Z,Trump,3307344,0.49219999999999997,"PA Presidential Election Results - Called for Biden (D)
 
Biden (D): 49.63% (3,334,477 votes)
Trump (R): 49.22% (3,307,344 votes)
 
Biden Margin: 27,133 (+5,605)
% Difference: 0.41%
 
Estimated: &gt; 95% votes in
 
More results here:
https://t.co/BgcQsEyt3j"
AZ,2020-11-07T02:05:52Z,Biden,1604067,0.4972,"AZ Presidential Election Results

Biden (D): 49.72% (1,604,067 votes)
Trump (R): 48.8% (1,574,206 votes)

Biden Margin: +29,861 (-6,974)
Estimated: &gt; 95% votes in

More results here: https://t.co/7CxbLsQ3gY"
AZ,2020-11-07T02:05:52Z,Trump,1574206,0.488,"AZ Presidential Election Results

Biden (D): 49.72% (1,604,067 votes)
Trump (R): 48.8% (1,574,206 votes)

Biden Margin: +29,861 (-6,974)
Estimated: &gt; 95% votes in

More results here: https://t.co/7CxbLsQ3gY"
PA,2020-11-07T02:00:34Z,Biden,3326672,0.4959,"PA Presidential Election Results - Called for Biden (D)
 
Biden (D): 49.59% (3,326,672 votes)
Trump (R): 49.27% (3,305,144 votes)
 
Biden Margin: 21,528 (+731)
% Difference: 0.32%
 
Estimated: &gt; 95% votes in
 
More results here: https://t.co/BgcQsEyt3j"
PA,2020-11-07T02:00:34Z,Trump,3305144,0.4927,"PA Presidential Election Results - Called for Biden (D)
 
Biden (D): 49.59% (3,326,672 votes)
Trump (R): 49.27% (3,305,144 votes)
 
Biden Margin: 21,528 (+731)
% Difference: 0.32%
 
Estimated: &gt; 95% votes in
 
More results here: https://t.co/BgcQsEyt3j"
PA,2020-11-07T01:23:05Z,Biden,3325379,0.49579999999999996,"PA Presidential Election Results - Called for Biden (D)
 
Biden (D): 49.58% (3,325,379 votes)
Trump (R): 49.27% (3,304,738 votes)
 
Biden Margin: 20,641 (+1,631)
% Difference: 0.31%
 
Estimated: &gt; 95% votes in
 
More results here: https://t.co/BgcQsEyt3j"
PA,2020-11-07T01:23:05Z,Trump,3304738,0.4927,"PA Presidential Election Results - Called for Biden (D)
 
Biden (D): 49.58% (3,325,379 votes)
Trump (R): 49.27% (3,304,738 votes)
 
Biden Margin: 20,641 (+1,631)
% Difference: 0.31%
 
Estimated: &gt; 95% votes in
 
More results here: https://t.co/BgcQsEyt3j"
AZ,2020-11-07T00:33:45Z,Biden,1572346,0.4986,"AZ Presidential Election Results

Biden (D): 49.86% (1,572,346 votes)
Trump (R): 48.69% (1,535,511 votes)

Biden Margin: +36,835 (-1,620)
Estimated: &gt; 95% votes in

More results here: https://t.co/7CxbLsQ3gY"
AZ,2020-11-07T00:33:45Z,Trump,1535511,0.4869,"AZ Presidential Election Results

Biden (D): 49.86% (1,572,346 votes)
Trump (R): 48.69% (1,535,511 votes)

Biden Margin: +36,835 (-1,620)
Estimated: &gt; 95% votes in

More results here: https://t.co/7CxbLsQ3gY"
GA,2020-11-07T00:17:26Z,Biden,2456472,0.49420000000000003,"GA Presidential Election Results

Biden (D): 49.42% (2,456,472 votes)
Trump (R): 49.34% (2,452,549 votes)

Biden Margin: +3,923 (-317)
Estimated: &gt; 99% votes in

More results here: https://t.co/xlHf7GZUxJ"
GA,2020-11-07T00:17:26Z,Trump,2452549,0.49340000000000006,"GA Presidential Election Results

Biden (D): 49.42% (2,456,472 votes)
Trump (R): 49.34% (2,452,549 votes)

Biden Margin: +3,923 (-317)
Estimated: &gt; 99% votes in

More results here: https://t.co/xlHf7GZUxJ"
PA,2020-11-07T00:13:42Z,Biden,3322897,0.49570000000000003,"PA Presidential Election Results - Called for Biden (D)
 
Biden (D): 49.57% (3,322,897 votes)
Trump (R): 49.27% (3,303,887 votes)
 
Biden Margin: 19,010 (+2,703)
% Difference: 0.3%
 
Estimated: &gt; 95% votes in
 
More results here: https://t.co/BgcQsEyt3j"
PA,2020-11-07T00:13:42Z,Trump,3303887,0.4927,"PA Presidential Election Results - Called for Biden (D)
 
Biden (D): 49.57% (3,322,897 votes)
Trump (R): 49.27% (3,303,887 votes)
 
Biden Margin: 19,010 (+2,703)
% Difference: 0.3%
 
Estimated: &gt; 95% votes in
 
More results here: https://t.co/BgcQsEyt3j"
AZ,2020-11-06T23:46:14Z,Biden,1571723,0.4989,"AZ Presidential Election Results

Biden (D): 49.89% (1,571,723 votes)
Trump (R): 48.67% (1,533,268 votes)

Biden Margin: +38,455 (-969)
Estimated: &gt; 95% votes in

More results here: https://t.co/7CxbLsQ3gY"
AZ,2020-11-06T23:46:14Z,Trump,1533268,0.4867,"AZ Presidential Election Results

Biden (D): 49.89% (1,571,723 votes)
Trump (R): 48.67% (1,533,268 votes)

Biden Margin: +38,455 (-969)
Estimated: &gt; 95% votes in

More results here: https://t.co/7CxbLsQ3gY"
PA,2020-11-06T23:41:20Z,Biden,3318353,0.4955,"PA Presidential Election Results - Called for Biden (D)
 
Biden (D): 49.55% (3,318,353 votes)
Trump (R): 49.30% (3,302,046 votes)
 
Biden Margin: 16,307 (+1,901)
% Difference: 0.25%
 
Estimated: &gt; 95% votes in
 
More results here: https://t.co/BgcQsEyt3j"
PA,2020-11-06T23:41:20Z,Trump,3302046,0.493,"PA Presidential Election Results - Called for Biden (D)
 
Biden (D): 49.55% (3,318,353 votes)
Trump (R): 49.30% (3,302,046 votes)
 
Biden Margin: 16,307 (+1,901)
% Difference: 0.25%
 
Estimated: &gt; 95% votes in
 
More results here: https://t.co/BgcQsEyt3j"
NV,2020-11-06T23:21:34Z,Biden,632558,0.49829999999999997,"NV Presidential Election Results

Biden (D): 49.83% (632,558 votes)
Trump (R): 48.04% (609,901 votes)

Biden Margin: +22,657 (+2,520)
Estimated: &gt; 95% votes in

More results here: https://t.co/Skqy3QUPov"
NV,2020-11-06T23:21:34Z,Trump,609901,0.4804,"NV Presidential Election Results

Biden (D): 49.83% (632,558 votes)
Trump (R): 48.04% (609,901 votes)

Biden Margin: +22,657 (+2,520)
Estimated: &gt; 95% votes in

More results here: https://t.co/Skqy3QUPov"
AZ,2020-11-06T23:07:48Z,Biden,1567561,0.4991,"AZ Presidential Election Results

Biden (D): 49.91% (1,567,561 votes)
Trump (R): 48.65% (1,528,137 votes)

Biden Margin: +39,424 (-345)
Estimated: &gt; 95% votes in

More results here: https://t.co/7CxbLsQ3gY"
AZ,2020-11-06T23:07:48Z,Trump,1528137,0.4865,"AZ Presidential Election Results

Biden (D): 49.91% (1,567,561 votes)
Trump (R): 48.65% (1,528,137 votes)

Biden Margin: +39,424 (-345)
Estimated: &gt; 95% votes in

More results here: https://t.co/7CxbLsQ3gY"
GA,2020-11-06T22:02:41Z,Biden,2455452,0.49420000000000003,"GA Presidential Election Results

Biden (D): 49.42% (2,455,452 votes)
Trump (R): 49.34% (2,451,212 votes)

Biden Margin: 4,240 (+2,702)
Estimated: &gt; 99% votes in

More results here: https://t.co/xlHf7GZUxJ"
GA,2020-11-06T22:02:41Z,Trump,2451212,0.49340000000000006,"GA Presidential Election Results

Biden (D): 49.42% (2,455,452 votes)
Trump (R): 49.34% (2,451,212 votes)

Biden Margin: 4,240 (+2,702)
Estimated: &gt; 99% votes in

More results here: https://t.co/xlHf7GZUxJ"
PA,2020-11-06T21:45:15Z,Biden,3315073,0.4953,"PA Presidential Election Results - Called for Biden (D)
 
Biden (D): 49.53% (3,315,073 votes)
Trump (R): 49.32% (3,300,667 votes)
 
Biden Margin: 14,406 (-234)
% Difference: 0.21%
 
Estimated: &gt; 95% votes in
 
More results here: https://t.co/BgcQsEyt3j"
PA,2020-11-06T21:45:15Z,Trump,3300667,0.4932,"PA Presidential Election Results - Called for Biden (D)
 
Biden (D): 49.53% (3,315,073 votes)
Trump (R): 49.32% (3,300,667 votes)
 
Biden Margin: 14,406 (-234)
% Difference: 0.21%
 
Estimated: &gt; 95% votes in
 
More results here: https://t.co/BgcQsEyt3j"
GA,2020-11-06T21:03:02Z,Biden,2450524,0.494,"GA Presidential Election Results

Biden (D): 49.4% (2,450,524 votes)
Trump (R): 49.37% (2,448,986 votes)

Biden Margin: 1,538 (-41)
Estimated: &gt; 99% votes in

More results here: https://t.co/xlHf7GZUxJ"
GA,2020-11-06T21:03:02Z,Trump,2448986,0.49369999999999997,"GA Presidential Election Results

Biden (D): 49.4% (2,450,524 votes)
Trump (R): 49.37% (2,448,986 votes)

Biden Margin: 1,538 (-41)
Estimated: &gt; 99% votes in

More results here: https://t.co/xlHf7GZUxJ"
PA,2020-11-06T21:00:31Z,Biden,3314702,0.4954,"PA Presidential Election Results - Called for Biden (D)
 
Biden (D): 49.54% (3,314,702 votes)
Trump (R): 49.32% (3,300,062 votes)
 
Biden Margin: 14,640 (+1,253)
% Difference: 0.22%
 
Estimated: &gt; 95% votes in
 
More results here: https://t.co/BgcQsEyt3j"
